"","age","Year","LL","ML","LM"
"438","4",2011,497.42068431909,495.152449827078,405.064248555831
"439","5",2011,661.796219527409,671.514531533616,549.244823689897
"440","6",2011,773.175945156157,792.45434971896,688.742578417142
"441","7",2011,936.163660064285,954.210414011097,831.591199949267
"442","8",2011,1116.19277846363,1157.09493988899,975.311134306159
"443","9",2011,1246.72894887399,1317.64868315612,1102.98199714294
"444","10",2011,1292.9016666321,1360.87075088966,1211.03792546327
"445","11",2011,1441.41094806039,1531.51656151936,1336.56855476345
"446","12",2011,1524.04321088608,1609.81484896076,1407.13072779329
"447","13",2011,1632.66375225854,1697.15012543434,1574.25846508965
"448","14",2011,1707.80280124107,1787.21653833344,1607.57924366027
"449","15",2011,1964.50198682935,2065.50931827874,1775.47681018517
"450","1",2012,14.731530825604,15.0133028813367,17.2654749464859
"451","2",2012,75.6665410951534,70.6179579227906,86.0065972438445
"452","3",2012,207.376650477179,222.029072927544,210.54220948591
