"","type","age","year","data","SE"
"806","model",11,2008,1544.93179687246,65.8616688976335
"807","model",12,2008,1513.26409456638,68.3782132486426
"808","model",13,2008,1736.83668524649,84.7185829861755
"809","model",14,2008,1838.80842654699,111.385652928279
"810","model",15,2008,1907.61999044875,54.9193840125199
"826","model",1,2009,11.6405740637517,0.548135131326537
"827","model",2,2009,74.2615118873485,5.27526037331052
"828","model",3,2009,228.281049628773,14.6658868509298
"829","model",4,2009,492.272511528,21.7873192530349
"830","model",5,2009,676.725307525128,31.9006543313748
"831","model",6,2009,787.197820060584,27.2596126430864
"832","model",7,2009,1001.5505327671,30.7710011727755
"833","model",8,2009,1142.49111953594,35.3454174534746
"834","model",9,2009,1168.93743161897,43.0215123657447
"835","model",10,2009,1458.44259099903,54.6798690675198
"836","model",11,2009,1573.29637058573,73.7998316170089
"837","model",12,2009,1749.71722067652,91.1607196699456
"838","model",13,2009,2064.02555736518,94.4589991895891
"839","model",14,2009,2255.91380343972,135.224734902893
"840","model",15,2009,2284.23998685164,82.1634077893269
"856","model",1,2010,19.2962718714479,0.808467783622759
"857","model",2,2010,77.6375147373759,6.39331114926994
"858","model",3,2010,267.434902689996,35.0452555649947
"859","model",4,2010,511.394671600845,13.5343588549185
"860","model",5,2010,675.030234868589,18.3796832198034
"861","model",6,2010,874.10889650791,36.8515533636973
"862","model",7,2010,1089.81147666094,36.7802779888408
"863","model",8,2010,1185.55516798963,35.3481186852299
"864","model",9,2010,1244.47739070739,38.8801003043931
"865","model",10,2010,1354.71120132301,45.7541564708387
"866","model",11,2010,1468.3145010897,49.9812286247568
"867","model",12,2010,1663.74615772267,75.9337269649067
"868","model",13,2010,1871.91430627776,89.1554887978313
"869","model",14,2010,2190.20266234953,125.842396749515
"870","model",15,2010,2350.641343017,88.2454306684704
"886","model",1,2011,16.4207923244073,0.666262911476651
"887","model",2,2011,85.8342046927759,5.74782840754471
"888","model",3,2011,219.851310700044,16.6933983744082
"889","model",4,2011,497.42068431908,25.8349750635863
"890","model",5,2011,661.7962195274,13.9376095260577
"891","model",6,2011,773.175945156181,17.360695056143
"892","model",7,2011,936.163660064297,29.6139947616307
"893","model",8,2011,1116.19277846363,42.5273501240699
"894","model",9,2011,1246.72894887401,34.6701720640862
"895","model",10,2011,1292.9016666321,36.7166661345118
"896","model",11,2011,1441.41094806041,44.2428089795233
"897","model",12,2011,1524.04321088608,51.5854602708212
"898","model",13,2011,1632.66375225854,72.4976691466749
"899","model",14,2011,1707.80280124102,87.3195851735654
"900","model",15,2011,1964.50198682933,68.1416405815785
"916","model",1,2012,14.7315308256039,0.604653657428918
"917","model",2,2012,75.6665410951534,7.98308781855526
"918","model",3,2012,207.376650477177,17.3806384082662
"919","model",4,2012,421.111066167771,8.61066442477012
"920","model",5,2012,606.922923762399,14.908018016409
"921","model",6,2012,785.056625865174,18.9047612528953
"922","model",7,2012,933.539432381372,25.8310244098583
"923","model",8,2012,1128.25032285712,39.7980092504171
"924","model",9,2012,1334.10962582585,46.6124990000133
"925","model",10,2012,1401.427052178,52.1241673650658
"926","model",11,2012,1437.23985692249,50.0301734583566
"927","model",12,2012,1523.59559595674,58.2238861976471
"928","model",13,2012,1565.19804900791,58.5551065771903
"929","model",14,2012,1834.4062011219,90.6808853647088
"930","model",15,2012,1960.33975853749,71.8756072660155
"946","model",1,2013,17.6147396411026,0.850369210550452
"947","model",2,2013,78.5311041834863,7.8674144521626
"948","model",3,2013,217.365081774248,21.0756426346749
"949","model",4,2013,506.204475148958,18.4696452502686
"950","model",5,2013,586.05899978801,9.45003004511035
"951","model",6,2013,750.187571875502,18.1805934073339
"952","model",7,2013,992.841031234743,22.5739207298521
"953","model",8,2013,1154.01654609713,34.1200364003677
"954","model",9,2013,1350.56632041531,62.0938950248798
"955","model",10,2013,1376.60277793426,64.2291509685426
"956","model",11,2013,1526.99942133828,57.5045287659559
"957","model",12,2013,1572.88901423752,65.9681550067627
"958","model",13,2013,1705.48766179583,70.0005798101081
"959","model",14,2013,1837.14690379143,84.6642663066853
"960","model",15,2013,1895.08770710706,76.8907648843699
"976","model",1,2014,18.8152734607916,0.770423186091254
"977","model",2,2014,109.866060872615,7.87445487988695
"978","model",3,2014,269.196410362465,32.1568018324327
"979","model",4,2014,458.085346775413,30.0370518686815
"980","model",5,2014,572.699081371039,21.9263408798217
"981","model",6,2014,716.706291918391,10.9457329595963
"982","model",7,2014,789.968182140834,13.3439001333801
"983","model",8,2014,1105.5772955843,26.3766640671903
"984","model",9,2014,1226.71156644903,37.3293952061088
"985","model",10,2014,1377.22732793922,60.0059624331773
"986","model",11,2014,1640.80177856212,87.5790279821428
"987","model",12,2014,1593.96237191652,76.5333653292985
"988","model",13,2014,1672.64056138233,78.4878971024118
"989","model",14,2014,1828.62622772829,106.994179891711
"990","model",15,2014,1863.52211058683,76.1007910049442
"1006","model",1,2015,19.4115602020082,1.12710158252925
"1007","model",2,2015,90.0784331900475,5.90938394357414
"1008","model",3,2015,323.233132479057,14.1972774368613
