"","Year","age","awwaa","awwaa_kg"
"394","1995",11,1324.75025487197,1.32475025487197
"395","1996",11,1390.39135009105,1.39039135009105
"396","1997",11,1353.56765778365,1.35356765778365
"397","1998",11,1268.74940574368,1.26874940574368
"398","1999",11,1298.70957246463,1.29870957246463
"399","2000",11,1370.01230888938,1.37001230888938
"400","2001",11,1333.79481101137,1.33379481101137
"401","2002",11,1119.26478274245,1.11926478274245
"402","2003",11,1243.87208423801,1.24387208423801
"403","2004",11,1203.43085988828,1.20343085988828
"404","2005",11,1354.52304478508,1.35452304478508
"405","2006",11,1282.80373734011,1.28280373734011
"406","2007",11,1369.46964935392,1.36946964935392
"407","2008",11,1544.93179687245,1.54493179687245
"408","2009",11,1573.29637058575,1.57329637058575
"409","2010",11,1468.31450108971,1.46831450108971
"410","2011",11,1441.41094806039,1.44141094806039
"411","2012",11,1437.23985692249,1.43723985692249
"412","2013",11,1526.9994213383,1.5269994213383
"413","2014",11,1640.80177856213,1.64080177856213
"414","2015",11,1494.15196294249,1.49415196294249
"415","2016",11,1126.92138452861,1.12692138452861
"416","2017",11,1044.37693266774,1.04437693266774
"417","2018",11,1045.8239933851,1.0458239933851
"418","2019",11,950.351687544406,0.950351687544406
"419","1982",12,1764.50409749448,1.76450409749448
"420","1983",12,1611.49657607828,1.61149657607828
"421","1984",12,1789.49184227557,1.78949184227557
"422","1985",12,2032.96143413181,2.03296143413181
"423","1986",12,1982.07392551034,1.98207392551034
"424","1987",12,1516.94450643643,1.51694450643643
"425","1988",12,1405.58286782612,1.40558286782612
"426","1989",12,1274.47668715639,1.27447668715639
"427","1990",12,1304.09011198676,1.30409011198676
"428","1991",12,1393.93637860311,1.39393637860311
"429","1992",12,1438.73679153969,1.43873679153969
"430","1993",12,1408.51376936704,1.40851376936704
"431","1994",12,1414.33927876314,1.41433927876314
"432","1995",12,1388.10679189524,1.38810679189524
"433","1996",12,1498.04426063018,1.49804426063018
"434","1997",12,1510.50302735085,1.51050302735085
"435","1998",12,1356.9570597737,1.3569570597737
"436","1999",12,1324.20800509032,1.32420800509032
"437","2000",12,1487.07147360001,1.48707147360001
"438","2001",12,1487.53392202651,1.48753392202651
"439","2002",12,1382.68302747354,1.38268302747354
"440","2003",12,1354.86059037462,1.35486059037462
"441","2004",12,1289.6376439539,1.2896376439539
"442","2005",12,1289.52006877137,1.28952006877137
"443","2006",12,1396.50319893129,1.39650319893129
"444","2007",12,1427.99960395094,1.42799960395094
"445","2008",12,1513.26409456634,1.51326409456634
"446","2009",12,1749.71722067653,1.74971722067653
"447","2010",12,1663.74615772267,1.66374615772267
"448","2011",12,1524.04321088608,1.52404321088608
"449","2012",12,1523.59559595674,1.52359559595674
"450","2013",12,1572.88901423754,1.57288901423754
"451","2014",12,1593.96237191654,1.59396237191654
"452","2015",12,1552.8660442875,1.5528660442875
"453","2016",12,1613.79469408075,1.61379469408075
"454","2017",12,996.212070642642,0.996212070642642
"455","2018",12,963.029466596319,0.963029466596319
"456","2019",12,1061.37194126332,1.06137194126332
"457","1982",13,2086.55236356275,2.08655236356275
"458","1983",13,1807.37331663103,1.80737331663103
"459","1984",13,1858.02266742548,1.85802266742548
"460","1985",13,2127.6196813461,2.1276196813461
"461","1986",13,1937.71225078125,1.93771225078125
"462","1987",13,1905.51026807547,1.90551026807547
"463","1988",13,1900.29537387486,1.90029537387486
"464","1989",13,1333.47723494315,1.33347723494315
"465","1990",13,1413.49802512851,1.41349802512851
"466","1991",13,1548.4520805134,1.5484520805134
"467","1992",13,1609.97033392246,1.60997033392246
"468","1993",13,1566.05261864107,1.56605261864107
"469","1994",13,1542.21057676729,1.54221057676729
"470","1995",13,1505.27713691755,1.50527713691755
"471","1996",13,1680.41411313244,1.68041411313245
"472","1997",13,1577.05209885012,1.57705209885012
"473","1998",13,1479.58617634283,1.47958617634283
"474","1999",13,1734.06681673937,1.73406681673937
"475","2000",13,1748.58928741391,1.74858928741391
"476","2001",13,1571.7862850354,1.5717862850354
"477","2002",13,1560.09364983313,1.56009364983313
"478","2003",13,1539.36602453826,1.53936602453826
"479","2004",13,1445.94622114483,1.44594622114483
"480","2005",13,1292.92146949814,1.29292146949814
"481","2006",13,1474.49311085751,1.47449311085751
"482","2007",13,1719.02548445872,1.71902548445872
"483","2008",13,1736.83668524648,1.73683668524648
"484","2009",13,2064.02555736519,2.06402555736519
"485","2010",13,1871.91430627776,1.87191430627776
"486","2011",13,1632.66375225854,1.63266375225854
"487","2012",13,1565.19804900793,1.56519804900793
"488","2013",13,1705.48766179581,1.70548766179581
"489","2014",13,1672.64056138232,1.67264056138232
"490","2015",13,1456.722929759,1.456722929759
"491","2016",13,1349.18723833763,1.34918723833763
"492","2017",13,1262.11100727533,1.26211100727533
"493","2018",13,1444.19031516772,1.44419031516772
"494","2019",13,1054.97108870603,1.05497108870603
"495","1982",14,1760.88469961813,1.76088469961813
"496","1983",14,1520.29313847476,1.52029313847476
"497","1984",14,1662.72025802724,1.66272025802724
"498","1985",14,1823.73478131444,1.82373478131444
"499","1986",14,2188.73931767682,2.18873931767682
"500","1987",14,2167.35213723547,2.16735213723547
"501","1988",14,1171.07098451951,1.17107098451951
"502","1989",14,1291.79587284924,1.29179587284924
"503","1990",14,1502.87368089771,1.50287368089771
"504","1991",14,1824.37745411152,1.82437745411152
"505","1992",14,1647.05635799727,1.64705635799727
"506","1993",14,1661.90469685581,1.66190469685581
"507","1994",14,1671.79798163873,1.67179798163873
"508","1995",14,1473.24580201084,1.47324580201084
"509","1996",14,1664.69245393658,1.66469245393658
"510","1997",14,1626.32352405886,1.62632352405886
"511","1998",14,1866.3849169938,1.8663849169938
"512","1999",14,1729.66869464027,1.72966869464027
"513","2000",14,1731.21645954226,1.73121645954226
"514","2001",14,1756.24721330309,1.75624721330309
"515","2002",14,1714.64739171797,1.71464739171797
"516","2003",14,1517.78851239036,1.51778851239036
"517","2004",14,1726.02110539118,1.72602110539118
"518","2005",14,1461.78707131419,1.46178707131419
"519","2006",14,1420.01803777543,1.42001803777543
"520","2007",14,1637.08088273695,1.63708088273695
"521","2008",14,1838.80842654698,1.83880842654698
"522","2009",14,2255.91380343972,2.25591380343972
"523","2010",14,2190.20266234954,2.19020266234954
"524","2011",14,1707.80280124107,1.70780280124107
"525","2012",14,1834.40620112191,1.83440620112191
"526","2013",14,1837.14690379143,1.83714690379143
"527","2014",14,1828.62622772828,1.82862622772828
"528","2015",14,1465.82757936891,1.46582757936891
"529","2016",14,1524.06039598347,1.52406039598347
